RM,PTRATIO,LSTAT,MEDV (Adjusted)
6.29,16.1,4.67,3
5.998,16.8,8.43,3
6.245,19.2,7.54,3
6.145,19.7,6.86,3
6.51,14.7,7.39,3
5.888,16.4,13.51,3
6.606,16.6,7.37,3
6.02,16.6,10.11,3
6.209,16.6,7.14,3
6.051,20.2,18.76,3
6.437,20.2,14.36,3
5.935,21,6.58,3
5.572,16.6,14.69,3
6.382,18.4,10.36,3
6.376,19.6,6.87,3
6.516,17.9,6.36,3
3.863,20.2,13.33,3
5.67,19.2,17.6,3
6.372,21.2,11.12,3
6.373,16.4,10.5,3
6.312,19.6,6.15,3
6.242,20.2,10.74,3
6.012,15.2,12.43,3
6.167,19,7.51,3
6.442,18.2,8.16,3
6.49,19.7,5.98,3
6.065,19.2,5.52,3
6.715,17.8,10.16,3
5.56,13,10.45,3
6.635,18.4,4.54,3
5.854,14.7,11.64,3
6.127,20.2,11.48,3
6.417,17.8,8.81,3
5.859,16.6,9.64,3
5.891,18.6,10.87,3
6.333,16.9,7.34,3
6.112,20.2,12.67,3
6.015,18.5,12.86,3
5.783,18.6,18.06,3
6.345,14.8,4.97,3
5.807,18.6,16.03,3
6.593,21,9.67,3
6.402,14.7,11.32,3
6.315,16.6,7.6,3
6.456,19.7,6.73,3
6.121,18.5,8.44,3
6.358,16.6,11.22,3
6.083,19.6,12.79,3
6.316,20.2,5.68,3
6.122,18.4,5.98,3
5.878,18.9,8.1,3
6.405,17.8,8.2,3
5.87,19.1,14.37,3
6.897,16.6,11.38,3
6.453,15.3,8.23,3
6.59,16.1,9.5,3
6.794,21,6.48,3
6.108,16.4,6.57,3
8.78,20.2,5.29,3
4.963,20.2,14,3
5.762,20.2,10.42,3
5.707,19.2,12.01,3
5.889,15.2,15.71,3
5.961,19.2,9.88,3
6.195,20.9,13,3
5.96,18.6,17.27,3
6.164,17.4,21.46,3
6.009,16,10.4,3
6.395,20.2,13.27,3
6.421,17.8,9.14,3
6.266,18.4,7.9,3
6.122,14.7,14.1,3
5.951,16.4,17.92,3
6.286,18.7,8.94,3
6.163,18,11.34,3
5.986,19.1,14.81,3
6.209,20.2,13.22,3
6.229,20.2,13.11,3
6.069,17.9,9.55,3
6.232,18.7,12.34,3
6.176,17.8,12.04,3
6.312,20.2,10.58,3
6.019,19.2,12.92,3
5.856,18.6,13,3
6.037,20.2,8.01,3
6.674,21,11.98,3
5.85,19.2,8.77,3
6.113,18.4,12.73,3
5.885,18.9,8.79,3
5.876,16.4,9.25,3
6.14,18.7,10.27,3
5.362,20.2,10.19,3
5.648,20.2,14.1,3
5.92,18.6,13.65,3
6.31,20.2,6.75,3
6.249,18.2,10.59,3
6.059,20.2,8.51,3
5.936,22,5.57,3
5.871,20.2,13.34,3
5.905,20.2,11.45,3
6.12,21,9.08,3
6.115,16.8,9.43,3
5.961,19.1,17.93,3
6.226,19.1,10.15,3
5.949,21,8.26,3
6.127,20.9,14.09,3
5.872,17.8,15.37,3
6.041,19.6,7.7,3
5.874,18.7,9.1,3
6.004,19.1,14.27,3
5.79,16,15.84,3
5.972,18.4,9.97,3
5.456,21,11.69,3
6.513,20.2,10.29,3
6.167,20.9,12.33,3
6.095,16.6,12.4,3
6.23,18.2,12.93,3
5.713,20.2,14.76,3
5.983,20.1,13.35,3
5.841,19.2,11.41,3
5.786,17.9,14.15,3
6.279,18.7,11.97,3
5.344,18.6,23.09,3
6.081,20.2,14.7,3
5.834,21,8.47,2
6.251,20.2,14.19,2
5.759,20.2,14.13,2
6.167,20.2,16.29,2
6.474,20.9,12.27,2
5.782,18.4,15.94,2
6.144,16.9,9.09,2
5.963,16.8,13.45,2
5.39,19.2,21.14,2
5.965,21,13.83,2
5.927,19.7,9.22,2
6.326,21.2,12.26,2
5.404,14.7,13.28,2
6.229,20.2,12.87,2
5.851,20.9,16.47,2
5.836,20.9,18.66,2
5.869,20.2,9.8,2
6.317,20.2,13.99,2
5.602,17.9,16.2,2
5.787,16.1,10.24,2
6.229,20.9,15.55,2
5.709,14.7,15.79,2
6.023,18.4,11.72,2
6.031,16.9,7.83,2
5.682,17.9,10.21,2
6.137,20.9,13.44,2
5.731,17.8,13.61,2
5.404,18.6,23.98,2
5.868,16.9,9.97,2
6.021,17.8,10.3,2
6.458,21.2,12.6,2
5.88,14.7,12.03,2
6.003,20.2,21.32,2
5.926,20.2,18.13,2
6.114,20.2,14.98,2
5.985,20.2,9.74,2
5.952,20.2,17.15,2
6.004,15.2,17.1,2
6.009,15.2,13.27,2
5.933,19.2,9.68,2
5.888,21.1,14.8,2
5.913,17.8,16.21,2
5.879,19.1,17.58,2
5.741,19.7,13.15,2
6.092,17.8,17.09,2
5.968,20.2,9.29,2
6.405,20.9,10.63,2
5.884,18.3,7.79,2
6.254,17.8,10.45,2
5.605,19.1,18.46,2
5.708,19.6,11.74,2
5.895,20.2,10.56,2
6.495,21,12.8,2
5.822,21.2,15.03,2
6.219,20.2,16.59,2
5.928,17.8,15.76,2
5.794,19.2,14.1,2
6.096,21,10.26,2
5.727,21,11.28,2
5.663,22,8.05,2
6.335,21.2,16.96,2
6.431,21.2,15.39,2
4.628,20.2,34.37,2
6.151,21.2,18.46,2
5.186,14.7,28.32,2
5.914,18.4,18.33,2
6.212,20.2,17.6,2
7.393,20.2,16.74,2
6.376,20.2,14.65,2
5.593,19.1,12.5,2
5.99,21,14.67,2
6.014,18.8,10.53,2
5.569,19.2,15.1,2
5.594,18.9,13.09,2
5.942,21.2,16.9,2
5.875,14.7,14.43,2
5.856,19.1,25.41,2
5.898,18.8,12.67,2
5.617,20.2,26.4,2
6.657,20.2,21.22,2
6.454,21.2,14.59,2
5.706,16.9,12.43,2
6.406,20.2,19.52,2
6.129,14.7,15.12,2
5.803,20.2,14.64,2
6.027,19.2,14.33,2
6.411,20.2,15.02,2
6.484,20.2,18.68,2
5.813,21,14.81,2
6.03,17.9,18.8,2
5.631,15.2,29.93,2
6.54,15.9,8.65,2
6.701,20.2,16.42,2
5.155,20.2,20.08,2
5.693,21.2,17.19,2
5.705,18.4,11.5,2
4.973,18.4,12.64,2
6.425,20.2,12.03,2
6.297,20.2,17.27,2
5.966,19.7,14.44,2
5.613,19.1,27.26,2
5.924,21,16.3,2
5.757,21.2,17.31,2
5.468,14.7,26.42,2
5.628,14.7,16.65,2
6.152,14.7,15.02,2
5.597,14.7,21.45,2
6.485,20.2,18.85,2
5.012,14.7,12.12,2
6.142,21,18.72,2
6.655,20.2,17.73,2
5.454,20.1,18.06,2
5.713,20.2,17.11,2
6.377,15.2,20.45,2
7.313,20.2,13.44,2
5.757,20.2,10.11,2
6.341,20.2,17.79,2
6.728,20.2,18.71,2
6.301,20.2,16.23,2
6.047,21,17.28,2
4.926,14.7,29.53,2
6.185,20.2,18.03,2
5.813,21,19.88,2
6.072,21,13.04,2
6.348,20.2,17.64,2
5.399,17.9,30.81,2
5.019,21.2,34.41,2
5.637,21.2,18.34,2
6.436,20.2,16.22,2
6.006,20.2,15.7,2
6.833,20.2,19.69,2
6.185,20.2,18.13,2
6.525,20.2,18.13,2
6.174,21.2,24.16,2
5.599,21,16.51,2
6.649,20.2,23.24,2
6.13,14.7,27.8,2
4.906,20.2,34.77,2
4.138,20.2,37.97,2
6.193,20.2,15.17,2
5.427,20.2,18.14,2
5.57,21,21.02,2
5.983,20.1,18.07,2
6.096,21,20.34,2
5.936,20.2,16.94,2
5.403,14.7,26.82,2
6.103,20.2,23.29,2
6.629,20.2,23.27,2
6.749,20.2,17.44,2
5.857,21.2,21.32,2
6.794,20.2,21.24,2
6.162,20.2,24.1,2
5.95,21,27.71,2
5.701,21,18.35,2
5.272,14.7,16.14,2
6.38,20.2,23.69,2
6.471,20.2,17.12,2
6.417,20.2,19.31,2
5.627,20.2,22.88,2
5.713,21,22.6,2
5.887,20.2,16.35,2
5.976,20.2,19.01,2
6.251,20.2,16.44,2
6.405,20.2,19.37,2
5.52,20.2,24.56,1
6.404,20.2,20.31,1
5.304,20.2,24.91,1
4.138,20.2,23.34,1
6.03,21,7.88,1
4.903,14.7,29.29,1
6.459,20.2,23.98,1
5.565,20.2,17.16,1
6.208,20.2,15.17,1
5.39,20.2,20.85,1
5.536,20.2,23.6,1
6.193,20.2,21.52,1
6.545,20.2,21.08,1
6.202,20.2,14.52,1
5.854,20.2,23.79,1
4.652,20.2,28.28,1
5.818,20.2,22.11,1
6.968,20.2,17.21,1
5.304,20.2,26.64,1
6.223,20.2,21.78,1
4.88,20.2,30.62,1
5.837,20.2,15.69,1
5.036,20.2,25.68,1
6.461,20.2,18.05,1
6.38,20.2,24.08,1
4.368,20.2,30.63,1
5.957,20.2,20.62,1
6.152,20.2,26.45,1
5.747,20.2,19.92,1
5.531,20.2,27.38,1
6.824,20.2,22.74,1
5.935,20.2,34.02,1
5.349,20.2,19.77,1
5.896,20.2,24.39,1
5.093,20.1,29.68,1
6.782,20.2,25.79,1
5,20.2,31.99,1
5.277,20.2,30.81,1
6.343,20.2,20.32,1
6.434,20.2,29.05,1
4.519,20.2,36.98,1
5.414,20.1,23.97,1
5.852,20.2,29.97,1
5.987,20.2,26.77,1
5.453,20.2,30.59,1
5.683,20.2,22.98,1
